country_code,NUTS3_2006,NUTS3_2010,NUTS3_2013,NUTS3_2016,Source,id,Comment
DE,DEA36,DEA36,DEA36,DEA36,NUTS3,DEU_3,
DE,DEA35,DEA35,DEA35,DEA35,NUTS3,DEU_3,
DE,DEA34,DEA34,DEA34,DEA34,NUTS3,DEU_3,
DE,DEA33,DEA33,DEA33,DEA33,NUTS3,DEU_3,
DE,DEA32,DEA32,DEA32,DEA32,NUTS3,DEU_3,
DE,DEA31,DEA31,DEA31,DEA31,NUTS3,DEU_3,
DE,,DEA2D,DEA2D,DEA2D,NUTS3,DEU_3,
DE,DEA2C,DEA2C,DEA2C,DEA2C,NUTS3,DEU_3,
DE,DEA2B,DEA2B,DEA2B,DEA2B,NUTS3,DEU_3,
DE,DEA2A,DEA2A,DEA2A,DEA2A,NUTS3,DEU_3,
DE,DEA38,DEA38,DEA38,DEA38,NUTS3,DEU_3,
DE,DEA29,DEA29,DEA29,DEA29,NUTS3,DEU_3,
DE,DEA57,DEA57,DEA57,DEA57,NUTS3,DEU_3,
DE,DEA59,DEA59,DEA59,DEA59,NUTS3,DEU_3,
DE,DEB35,DEB35,DEB35,DEB35,NUTS3,DEU_5,
DE,DEB34,DEB34,DEB34,DEB34,NUTS3,DEU_5,
DE,DEB33,DEB33,DEB33,DEB33,NUTS3,DEU_5,
DE,DEB32,DEB32,DEB32,DEB32,NUTS3,DEU_5,
DE,DEB31,DEB31,DEB31,DEB31,NUTS3,DEU_5,
DE,DEB25,DEB25,DEB25,DEB25,NUTS3,DEU_5,
DE,DEB24,DEB24,DEB24,DEB24,NUTS3,DEU_5,
DE,DEB23,DEB23,DEB23,DEB23,NUTS3,DEU_5,
DE,DEB22,DEB22,DEB22,DEB22,NUTS3,DEU_5,
DE,DEB21,DEB21,DEB21,DEB21,NUTS3,DEU_5,
DE,DEB1B,DEB1B,DEB1B,DEB1B,NUTS3,DEU_5,
DE,DEA58,DEA58,DEA58,DEA58,NUTS3,DEU_3,
DE,DEB1A,DEB1A,DEB1A,DEB1A,NUTS3,DEU_5,
DE,DEB18,DEB18,DEB18,DEB18,NUTS3,DEU_5,
DE,DEB17,DEB17,DEB17,DEB17,NUTS3,DEU_5,
DE,DEB16,DEB16,DEB16,DEB1C,NUTS3,DEU_5,
DE,DEB15,DEB15,DEB15,DEB15,NUTS3,DEU_5,
DE,DEB14,DEB14,DEB14,DEB14,NUTS3,DEU_5,
DE,DEB13,DEB13,DEB13,DEB13,NUTS3,DEU_5,
DE,DEB12,DEB12,DEB12,DEB12,NUTS3,DEU_5,
DE,DEB11,DEB11,DEB11,DEB11,NUTS3,DEU_5,
DE,DEA5C,DEA5C,DEA5C,DEA5C,NUTS3,DEU_3,
DE,DEA5B,DEA5B,DEA5B,DEA5B,NUTS3,DEU_3,
DE,DEA5A,DEA5A,DEA5A,DEA5A,NUTS3,DEU_3,
DE,DEB19,DEB19,DEB19,DEB1D,NUTS3,DEU_5,
DE,DE943,DE943,DE943,DE943,NUTS3,DEU_1,
DE,DEA28,DEA28,DEA28,DEA28,NUTS3,DEU_3,
DE,DEA26,DEA26,DEA26,DEA26,NUTS3,DEU_3,
DE,DE947,DE947,DE947,DE947,NUTS3,DEU_1,
DE,DE946,DE946,DE946,DE946,NUTS3,DEU_1,
DE,DE944,DE944,DE944,DE944,NUTS3,DEU_1,
DE,DE91B,DE91B,DE91B,DE91B,NUTS3,DEU_1,
DE,DE922,DE922,DE922,DE922,NUTS3,DEU_1,
