country_code,NUTS3_2006,NUTS3_2010,NUTS3_2013,NUTS3_2016,Source,id,Comment
DE,DE124,DE124,DE124,DE124,NUTS3,DEU_6,
DE,DE123,DE123,DE123,DE123,NUTS3,DEU_6,
DE,DE122,DE122,DE122,DE122,NUTS3,DEU_6,
DE,DE121,DE121,DE121,DE121,NUTS3,DEU_6,
DE,DE11D,DE11D,DE11D,DE11D,NUTS3,DEU_6,
DE,DE11C,DE11C,DE11C,DE11C,NUTS3,DEU_6,
DE,DE12A,DE12A,DE12A,DE12A,NUTS3,DEU_6,
DE,DE244,DE244,DE244,DE244,NUTS3,DEU_7,
DE,DE131,DE131,DE131,DE131,NUTS3,DEU_6,
DE,DE246,DE246,DE246,DE246,NUTS3,DEU_7,
DE,DE71B,DE71B,DE71B,DE71B,NUTS3,DEU_5,
DE,DE71A,DE71A,DE71A,DE71A,NUTS3,DEU_5,
DE,DE719,DE719,DE719,DE719,NUTS3,DEU_5,
DE,DE718,DE718,DE718,DE718,NUTS3,DEU_5,
DE,DE717,DE717,DE717,DE717,NUTS3,DEU_5,
DE,DE716,DE716,DE716,DE716,NUTS3,DEU_5,
DE,DE715,DE715,DE715,DE715,NUTS3,DEU_5,
DE,DE714,DE714,DE714,DE714,NUTS3,DEU_5,
DE,DE713,DE713,DE713,DE713,NUTS3,DEU_5,
DE,DE712,DE712,DE712,DE712,NUTS3,DEU_5,
DE,DE711,DE711,DE711,DE711,NUTS3,DEU_5,
DE,DE600,DE600,DE600,DE600,NUTS3,DEU_1,
DE,DE502,DE502,DE502,DE502,NUTS3,DEU_1,
DE,DE501,DE501,DE501,DE501,NUTS3,DEU_1,
DE,DE418,DE40I,DE40I,DE40I,NUTS3,DEU_2,
DE,DE42A,DE40H,DE40H,DE40H,NUTS3,DEU_2,
DE,DE429,DE40G,DE40G,DE40G,NUTS3,DEU_4,
DE,DE417,DE40F,DE40F,DE40F,NUTS3,DEU_2,
DE,DE428,DE40E,DE40E,DE40E,NUTS3,DEU_2,
DE,DE416,DE40D,DE40D,DE40D,NUTS3,DEU_2,
DE,DE415,DE40C,DE40C,DE40C,NUTS3,DEU_2,
DE,DE427,DE40B,DE40B,DE40B,NUTS3,DEU_4,
DE,DE414,DE40A,DE40A,DE40A,NUTS3,DEU_2,
DE,DE71C,DE71C,DE71C,DE71C,NUTS3,DEU_5,
DE,DE71D,DE71D,DE71D,DE71D,NUTS3,DEU_5,
DE,DE71E,DE71E,DE71E,DE71E,NUTS3,DEU_5,
DE,DE721,DE721,DE721,DE721,NUTS3,DEU_5,
DE,DE737,DE737,DE737,DE737,NUTS3,DEU_5,
DE,DE736,DE736,DE736,DE736,NUTS3,DEU_5,
DE,,,DE80J,DE80J,NUTS3,DEU_2,
DE,DE735,DE735,DE735,DE735,NUTS3,DEU_5,
DE,DE734,DE734,DE734,DE734,NUTS3,DEU_5,
DE,DE733,DE733,DE733,DE733,NUTS3,DEU_5,
DE,DE732,DE732,DE732,DE732,NUTS3,DEU_5,
DE,DE731,DE731,DE731,DE731,NUTS3,DEU_5,
DE,DE725,DE725,DE725,DE725,NUTS3,DEU_5,
DE,,,DE80K,DE80K,NUTS3,DEU_2,
DE,,,DE80L,DE80L,NUTS3,DEU_2,
DE,DE413,DE409,DE409,DE409,NUTS3,DEU_2,
DE,,,DE80M,DE80M,NUTS3,DEU_2,
DE,,,DE80O,DE80O,NUTS3,DEU_2,
DE,DE911,DE911,DE911,DE911,NUTS3,DEU_1,
DE,DE912,DE912,DE912,DE912,NUTS3,DEU_1,
DE,DE913,DE913,DE913,DE913,NUTS3,DEU_1,
DE,DE914,DE914,DE914,DE914,NUTS3,DEU_1,
DE,DE915,DE915,DE915,,NUTS3,DEU_1,
DE,DE916,DE916,DE916,DE916,NUTS3,DEU_1,
DE,DE724,DE724,DE724,DE724,NUTS3,DEU_5,
DE,DE723,DE723,DE723,DE723,NUTS3,DEU_5,
DE,DE245,DE245,DE245,DE245,NUTS3,DEU_7,
DE,DE722,DE722,DE722,DE722,NUTS3,DEU_5,
DE,,,DE80N,DE80N,NUTS3,DEU_2,
DE,DE804,DE804,DE804,DE804,NUTS3,DEU_2,
DE,DE426,DE408,DE408,DE408,NUTS3,DEU_2,
DE,DE424,DE406,DE406,DE406,NUTS3,DEU_2,
DE,DE264,DE264,DE264,DE264,NUTS3,DEU_7,
DE,DE263,DE263,DE263,DE263,NUTS3,DEU_7,
DE,DE262,DE262,DE262,DE262,NUTS3,DEU_7,
DE,DE261,DE261,DE261,DE261,NUTS3,DEU_7,
DE,DE25C,DE25C,DE25C,DE25C,NUTS3,DEU_7,
DE,DE25B,DE25B,DE25B,DE25B,NUTS3,DEU_7,
DE,DE25A,DE25A,DE25A,DE25A,NUTS3,DEU_7,
DE,DE259,DE259,DE259,DE259,NUTS3,DEU_7,
DE,DE258,DE258,DE258,DE258,NUTS3,DEU_7,
DE,DE257,DE257,DE257,DE257,NUTS3,DEU_7,
DE,DE256,DE256,DE256,DE256,NUTS3,DEU_7,
DE,DE255,DE255,DE255,DE255,NUTS3,DEU_7,
DE,DE254,DE254,DE254,DE254,NUTS3,DEU_7,
DE,DE253,DE253,DE253,DE253,NUTS3,DEU_7,
DE,DE252,DE252,DE252,DE252,NUTS3,DEU_7,
DE,DE251,DE251,DE251,DE251,NUTS3,DEU_7,
DE,DE24D,DE24D,DE24D,DE24D,NUTS3,DEU_7,
DE,DE24C,DE24C,DE24C,DE24C,NUTS3,DEU_7,
DE,DE24B,DE24B,DE24B,DE24B,NUTS3,DEU_7,
DE,DE24A,DE24A,DE24A,DE24A,NUTS3,DEU_7,
DE,DE249,DE249,DE249,DE249,NUTS3,DEU_7,
DE,DE248,DE248,DE248,DE248,NUTS3,DEU_7,
DE,DE247,DE247,DE247,DE247,NUTS3,DEU_7,
DE,DE265,DE265,DE265,DE265,NUTS3,DEU_7,
DE,DE266,DE266,DE266,DE266,NUTS3,DEU_7,
DE,DE267,DE267,DE267,DE267,NUTS3,DEU_7,
DE,DE268,DE268,DE268,DE268,NUTS3,DEU_7,
DE,DE412,DE405,DE405,DE405,NUTS3,DEU_2,
DE,DE423,DE404,DE404,DE404,NUTS3,DEU_2,
DE,DE411,DE403,DE403,DE403,NUTS3,DEU_2,
DE,DE422,DE402,DE402,DE402,NUTS3,DEU_4,
DE,DE421,DE401,DE401,DE401,NUTS3,DEU_2,
DE,DE300,DE300,DE300,DE300,NUTS3,DEU_2,
DE,DE27E,DE27E,DE27E,DE27E,NUTS3,DEU_7,
DE,DE27D,DE27D,DE27D,DE27D,NUTS3,DEU_7,
DE,DE27C,DE27C,DE27C,DE27C,NUTS3,DEU_7,
DE,DE27B,DE27B,DE27B,DE27B,NUTS3,DEU_7,
DE,DE27A,DE27A,DE27A,DE27A,NUTS3,DEU_7,
DE,DE425,DE407,DE407,DE407,NUTS3,DEU_4,
DE,DE279,DE279,DE279,DE279,NUTS3,DEU_7,
DE,DE277,DE277,DE277,DE277,NUTS3,DEU_7,
DE,DE276,DE276,DE276,DE276,NUTS3,DEU_7,
DE,DE275,DE275,DE275,DE275,NUTS3,DEU_7,
DE,DE274,DE274,DE274,DE274,NUTS3,DEU_7,
DE,DE273,DE273,DE273,DE273,NUTS3,DEU_7,
DE,DE272,DE272,DE272,DE272,NUTS3,DEU_7,
DE,DE271,DE271,DE271,DE271,NUTS3,DEU_7,
DE,DE26C,DE26C,DE26C,DE26C,NUTS3,DEU_7,
DE,DE26B,DE26B,DE26B,DE26B,NUTS3,DEU_7,
DE,DE26A,DE26A,DE26A,DE26A,NUTS3,DEU_7,
DE,DE269,DE269,DE269,DE269,NUTS3,DEU_7,
DE,DE278,DE278,DE278,DE278,NUTS3,DEU_7,
DE,DE803,DE803,DE803,DE803,NUTS3,DEU_2,
DK,DK022,DK022,DK022,DK022,NUTS3,DNK_2,
DK,DK014,DK014,DK014,DK014,NUTS3,DNK_2,
DK,DK050,DK050,DK050,DK050,NUTS3,DNK_1,
DK,DK042,DK042,DK042,DK042,NUTS3,DNK_1,
DK,DK041,DK041,DK041,DK041,NUTS3,DNK_1,
DK,DK032,DK032,DK032,DK032,NUTS3,DNK_1,
DK,DK031,DK031,DK031,DK031,NUTS3,DNK_1,
DK,DK021,DK021,DK021,DK021,NUTS3,DNK_2,
DK,DK013,DK013,DK013,DK013,NUTS3,DNK_2,
DK,DK012,DK012,DK012,DK012,NUTS3,DNK_2,
DK,DK011,DK011,DK011,DK011,NUTS3,DNK_2,
DZ,,,,,GADM,DZA_1,Outside the modelled system
EE,,,,,NUTS0,EST_1,
EG,,,,,GADM,EGY_1,Outside the modelled system
ES,ES424,ES424,ES424,ES424,NUTS3,ESP_3,
ES,ES423,ES423,ES423,ES423,NUTS3,ESP_11,
ES,ES431,ES431,ES431,ES431,NUTS3,ESP_8,
ES,ES425,ES425,ES425,ES425,NUTS3,ESP_8,
ES,ES422,ES422,ES422,ES422,NUTS3,ESP_8,
ES,ES416,ES416,ES416,ES416,NUTS3,ESP_3,
ES,ES419,ES419,ES419,ES419,NUTS3,ESP_2,
ES,ES418,ES418,ES418,ES418,NUTS3,ESP_3,
ES,ES417,ES417,ES417,ES417,NUTS3,ESP_3,
ES,ES432,ES432,ES432,ES432,NUTS3,ESP_8,
ES,ES415,ES415,ES415,ES415,NUTS3,ESP_2,
ES,ES421,ES421,ES421,ES421,NUTS3,ESP_11,
ES,ES511,ES511,ES511,ES511,NUTS3,ESP_6,
ES,ES523,ES523,ES523,ES523,NUTS3,ESP_11,
ES,ES513,ES513,ES513,ES513,NUTS3,ESP_6,
ES,ES514,ES514,ES514,ES514,NUTS3,ESP_6,
ES,ES521,ES521,ES521,ES521,NUTS3,ESP_11,
ES,ES522,ES522,ES522,ES522,NUTS3,ESP_11,
ES,ES414,ES414,ES414,ES414,NUTS3,ESP_3,
ES,ES611,ES611,ES611,ES611,NUTS3,ESP_10,
ES,ES612,ES612,ES612,ES612,NUTS3,ESP_9,
ES,ES613,ES613,ES613,ES613,NUTS3,ESP_10,
ES,ES614,ES614,ES614,ES614,NUTS3,ESP_10,
ES,ES615,ES615,ES615,ES615,NUTS3,ESP_9,
ES,ES616,ES616,ES616,ES616,NUTS3,ESP_10,
ES,ES617,ES617,ES617,ES617,NUTS3,ESP_9,
ES,ES618,ES618,ES618,ES618,NUTS3,ESP_9,
ES,ES620,ES620,ES620,ES620,NUTS3,ESP_11,
ES,ES512,ES512,ES512,ES512,NUTS3,ESP_6,
ES,ES413,ES413,ES413,ES413,NUTS3,ESP_2,
ES,ES230,ES230,ES230,ES230,NUTS3,ESP_4,
ES,ES411,ES411,ES411,ES411,NUTS3,ESP_3,
ES,ES412,ES412,ES412,ES412,NUTS3,ESP_3,
ES,ES111,ES111,ES111,ES111,NUTS3,ESP_1,Incorrectly assigned to ESP_2 in e-Highways data
ES,ES112,ES112,ES112,ES112,NUTS3,ESP_1,
ES,ES113,ES113,ES113,ES113,NUTS3,ESP_1,Incorrectly assigned to ESP_3 in e-Highways data
ES,ES120,ES120,ES120,ES120,NUTS3,ESP_2,
ES,ES130,ES130,ES130,ES130,NUTS3,ESP_2,
ES,ES211,ES211,ES211,ES211,NUTS3,ESP_4,
ES,ES114,ES114,ES114,ES114,NUTS3,ESP_1,
ES,ES213,ES213,ES213,ES213,NUTS3,ESP_4,
ES,ES220,ES220,ES220,ES220,NUTS3,ESP_4,
ES,ES241,ES241,ES241,ES241,NUTS3,ESP_5,
ES,ES242,ES242,ES242,ES242,NUTS3,ESP_5,
ES,ES243,ES243,ES243,ES243,NUTS3,ESP_5,
ES,ES300,ES300,ES300,ES300,NUTS3,ESP_7,
ES,ES212,ES212,ES212,ES212,NUTS3,ESP_4,
FI,FI134,FI1D4,FI1D4,FI1D8,NUTS3,FIN_1,NUTS region was previously shared with 75_FI; now all given to 74_FI
FI,FI197,FI197,FI197,FI197,NUTS3,FIN_2,
FI,FI200,FI200,FI200,FI200,NUTS3,FIN_2,
FI,FI1A3,FI1D7,FI1D7,FI1D7,NUTS3,FIN_1,
FI,FI1A2,FI1D6,FI1D6,FI1D9,NUTS3,FIN_1,NUTS region was previously shared with 75_FI; now all given to 74_FI
FI,FI1A1,FI1D5,FI1D5,FI1D5,NUTS3,FIN_2,
FI,FI133,FI1D3,FI1D3,FI1D3,NUTS3,FIN_2,
FI,,FI1B1,FI1B1,FI1B1,NUTS3,FIN_2,
FI,FI131,FI1D1,FI1D1,FI1D1,NUTS3,FIN_2,
FI,FI187,FI1C5,FI1C5,FI1C5,NUTS3,FIN_2,
FI,FI186,FI1C4,FI1C4,FI1C4,NUTS3,FIN_2,
FI,FI185,FI1C3,FI1C3,FI1C3,NUTS3,FIN_2,
FI,FI184,FI1C2,FI1C2,FI1C2,NUTS3,FIN_2,
FI,FI183,FI1C1,FI1C1,FI1C1,NUTS3,FIN_2,
FI,FI132,FI1D2,FI1D2,FI1D2,NUTS3,FIN_2,
FI,FI196,FI196,FI196,FI196,NUTS3,FIN_2,
FI,FI181,,,,NUTS3,FIN_2,
FI,FI194,FI194,FI194,FI194,NUTS3,FIN_2,
FI,FI195,FI195,FI195,FI195,NUTS3,FIN_2,
FI,FI182,,,,NUTS3,FIN_2,
FI,FI193,FI193,FI193,FI193,NUTS3,FIN_2,
FR,FR514,FR514,FR514,FRG04,NUTS3,FRA_4,
FR,FR631,FR631,FR631,FRI21,NUTS3,FRA_2,
FR,FR628,FR628,FR628,FRJ28,NUTS3,FRA_1,
FR,FR627,FR627,FR627,FRJ27,NUTS3,FRA_2,
FR,FR626,FR626,FR626,FRJ26,NUTS3,FRA_1,
FR,FR625,FR625,FR625,FRJ25,NUTS3,FRA_2,
FR,FR624,FR624,FR624,FRJ24,NUTS3,FRA_1,
FR,FR623,FR623,FR623,FRJ23,NUTS3,FRA_1,
FR,FR622,FR622,FR622,FRJ22,NUTS3,FRA_2,
FR,FR621,FR621,FR621,FRJ21,NUTS3,FRA_1,
FR,FR615,FR615,FR615,FRI15,NUTS3,FRA_1,
FR,FR614,FR614,FR614,FRI14,NUTS3,FRA_1,
FR,FR613,FR613,FR613,FRI13,NUTS3,FRA_1,
FR,FR612,FR612,FR612,FRI12,NUTS3,FRA_1,
FR,FR611,FR611,FR611,FRI11,NUTS3,FRA_1,
FR,FR534,FR534,FR534,FRI34,NUTS3,FRA_4,
FR,FR533,FR533,FR533,FRI33,NUTS3,FRA_4,
FR,FR532,FR532,FR532,FRI32,NUTS3,FRA_4,
FR,FR531,FR531,FR531,FRI31,NUTS3,FRA_4,
FR,FR524,FR524,FR524,FRH04,NUTS3,FRA_8,
FR,FR523,FR523,FR523,FRH03,NUTS3,FRA_8,
FR,FR522,FR522,FR522,FRH02,NUTS3,FRA_8,
FR,FR521,FR521,FR521,FRH01,NUTS3,FRA_8,
FR,FR515,FR515,FR515,FRG05,NUTS3,FRA_4,
FR,FR513,FR513,FR513,FRG03,NUTS3,FRA_8,
FR,FR632,FR632,FR632,FRI22,NUTS3,FRA_5,
FR,FR711,FR711,FR711,FRK21,NUTS3,FRA_7,
FR,FR712,FR712,FR712,FRK22,NUTS3,FRA_6,
FR,FR812,FR812,FR812,FRJ12,NUTS3,FRA_3,
FR,FR813,FR813,FR813,FRJ13,NUTS3,FRA_2,
FR,FR814,FR814,FR814,FRJ14,NUTS3,FRA_2,
FR,FR815,FR815,FR815,FRJ15,NUTS3,FRA_2,
FR,FR821,FR821,FR821,FRL01,NUTS3,FRA_3,
FR,FR822,FR822,FR822,FRL02,NUTS3,FRA_7,
FR,FR823,FR823,FR823,FRL03,NUTS3,FRA_3,
FR,FR824,FR824,FR824,FRL04,NUTS3,FRA_3,
FR,FR825,FR825,FR825,FRL05,NUTS3,FRA_3,
FR,FR826,FR826,FR826,FRL06,NUTS3,FRA_3,
FR,FR831,FR831,FR831,FRM01,NUTS3,FRA_15,
FR,FR633,FR633,FR633,FRI23,NUTS3,FRA_5,
FR,FR832,FR832,FR832,FRM02,NUTS3,FRA_15,
FR,FR811,FR811,FR811,FRJ11,NUTS3,FRA_2,
FR,FR724,FR724,FR724,FRK14,NUTS3,FRA_5,
FR,FR723,FR723,FR723,FRK13,NUTS3,FRA_6,
FR,FR722,FR722,FR722,FRK12,NUTS3,FRA_2,
FR,FR721,FR721,FR721,FRK11,NUTS3,FRA_5,
FR,FR718,FR718,FR718,FRK28,NUTS3,FRA_7,
FR,FR717,FR717,FR717,FRK27,NUTS3,FRA_7,
FR,FR716,FR716,FR716,FRK26,NUTS3,FRA_6,
FR,FR715,FR715,FR715,FRK25,NUTS3,FRA_6,
FR,FR714,FR714,FR714,FRK24,NUTS3,FRA_7,
FR,FR713,FR713,FR713,FRK23,NUTS3,FRA_6,
FR,FR512,FR512,FR512,FRG02,NUTS3,FRA_4,
FR,FR511,FR511,FR511,FRG01,NUTS3,FRA_8,
FR,FR301,FR301,FR301,FRE11,NUTS3,FRA_13,
FR,FR433,FR433,FR433,FRC23,NUTS3,FRA_12,
FR,FR241,FR241,FR241,FRB01,NUTS3,FRA_5,
FR,FR232,FR232,FR232,FRD22,NUTS3,FRA_13,
FR,FR231,FR231,FR231,FRD21,NUTS3,FRA_9,
FR,FR223,FR223,FR223,FRE23,NUTS3,FRA_13,
FR,FR222,FR222,FR222,FRE22,NUTS3,FRA_13,
FR,FR221,FR221,FR221,FRE21,NUTS3,FRA_13,
FR,FR214,FR214,FR214,FRF24,NUTS3,FRA_11,
FR,FR213,FR213,FR213,FRF23,NUTS3,FRA_14,
FR,FR242,FR242,FR242,FRB02,NUTS3,FRA_5,
FR,FR212,FR212,FR212,FRF22,NUTS3,FRA_11,
FR,FR108,FR108,FR108,FR108,NUTS3,FRA_10,
FR,FR107,FR107,FR107,FR107,NUTS3,FRA_10,
FR,FR106,FR106,FR106,FR106,NUTS3,FRA_10,
FR,FR105,FR105,FR105,FR105,NUTS3,FRA_10,
FR,FR104,FR104,FR104,FR104,NUTS3,FRA_10,
FR,FR102,FR102,FR102,FR102,NUTS3,FRA_10,
FR,FR101,FR101,FR101,FR101,NUTS3,FRA_10,
FR,FR434,FR434,FR434,FRC24,NUTS3,FRA_12,
FR,FR211,FR211,FR211,FRF21,NUTS3,FRA_14,
FR,FR243,FR243,FR243,FRB03,NUTS3,FRA_5,
FR,FR103,FR103,FR103,FR103,NUTS3,FRA_10,
FR,FR245,FR245,FR245,FRB05,NUTS3,FRA_5,
FR,FR244,FR244,FR244,FRB04,NUTS3,FRA_4,
FR,FR432,FR432,FR432,FRC22,NUTS3,FRA_7,
FR,FR431,FR431,FR431,FRC21,NUTS3,FRA_12,
FR,FR421,FR421,FR421,FRF11,NUTS3,FRA_12,
FR,FR414,FR414,FR414,FRF34,NUTS3,FRA_12,
FR,FR413,FR413,FR413,FRF33,NUTS3,FRA_12,
FR,FR412,FR412,FR412,FRF32,NUTS3,FRA_12,
FR,FR411,FR411,FR411,FRF31,NUTS3,FRA_12,
FR,FR302,FR302,FR302,FRE12,NUTS3,FRA_13,
FR,FR422,FR422,FR422,FRF12,NUTS3,FRA_12,
FR,FR264,FR264,FR264,FRC14,NUTS3,FRA_11,
FR,FR263,FR263,FR263,FRC13,NUTS3,FRA_11,
FR,FR262,FR262,FR262,FRC12,NUTS3,FRA_5,
FR,FR261,FR261,FR261,FRC11,NUTS3,FRA_11,
FR,FR253,FR253,FR253,FRD13,NUTS3,FRA_9,
FR,FR252,FR252,FR252,FRD12,NUTS3,FRA_9,
FR,FR251,FR251,FR251,FRD11,NUTS3,FRA_9,
FR,FR246,FR246,FR246,FRB06,NUTS3,FRA_5,
GR,,,EL305,EL305,NUTS3,GRC_2,
GR,,,EL304,EL304,NUTS3,GRC_2,
GR,,,EL303,EL303,NUTS3,GRC_2,
GR,,,EL302,EL302,NUTS3,GRC_2,
GR,,,EL301,EL301,NUTS3,GRC_2,
GR,GR131,EL131,,,NUTS3,GRC_1,
GR,GR133,EL133,,,NUTS3,GRC_1,
GR,GR214,EL214,,,NUTS3,GRC_1,
GR,GR141,EL141,,,NUTS3,GRC_1,
GR,GR255,EL255,,,NUTS3,GRC_2,
GR,GR144,EL144,,,NUTS3,GRC_1,
GR,GR251,EL251,,,NUTS3,GRC_2,
GR,GR252,EL252,,,NUTS3,GRC_2,
GR,,,EL306,EL306,NUTS3,GRC_2,
GR,GR254,EL254,,,NUTS3,GRC_2,
GR,GR211,EL211,,,NUTS3,GRC_1,
GR,,,EL307,EL307,NUTS3,GRC_2,
GR,GR124,EL124,EL524,EL524,NUTS3,GRC_1,
GR,GR112,EL112,EL512,EL512,NUTS3,GRC_1,
GR,GR213,EL213,EL543,EL543,NUTS3,GRC_1,
GR,GR300,EL300,,,NUTS3,GRC_2,
GR,GR212,EL212,EL542,EL542,NUTS3,GRC_1,
GR,,,EL541,EL541,NUTS3,GRC_1,
GR,GR134,EL134,EL533,EL533,NUTS3,GRC_1,
GR,GR132,EL132,EL532,EL532,NUTS3,GRC_1,
GR,,,EL531,EL531,NUTS3,GRC_1,
GR,GR111,EL111,EL511,EL511,NUTS3,GRC_1,
GR,GR127,EL127,EL527,EL527,NUTS3,GRC_1,
GR,GR125,EL125,EL525,EL525,NUTS3,GRC_1,
GR,GR123,EL123,EL523,EL523,NUTS3,GRC_1,
GR,GR122,EL122,EL522,EL522,NUTS3,GRC_1,
GR,GR121,EL121,EL521,EL521,NUTS3,GRC_1,
GR,GR115,EL115,EL515,EL515,NUTS3,GRC_1,
GR,GR114,EL114,EL514,EL514,NUTS3,GRC_1,
GR,GR113,EL113,EL513,EL513,NUTS3,GRC_1,
GR,GR126,EL126,EL526,EL526,NUTS3,GRC_1,
GR,,,EL611,EL611,NUTS3,GRC_1,
GR,GR142,EL142,EL612,EL612,NUTS3,GRC_1,
GR,GR242,EL242,EL642,EL642,NUTS3,GRC_2,
GR,GR244,EL244,EL644,EL644,NUTS3,GRC_2,
GR,GR243,EL243,EL643,EL643,NUTS3,GRC_2,
GR,GR253,EL253,EL652,EL652,NUTS3,GRC_2,
GR,GR241,EL241,EL641,EL641,NUTS3,GRC_2,
GR,GR233,EL233,EL633,EL633,NUTS3,GRC_2,
GR,GR232,EL232,EL632,EL632,NUTS3,GRC_2,
GR,GR231,EL231,EL631,EL631,NUTS3,GRC_1,
GR,GR143,EL143,EL613,EL613,NUTS3,GRC_2,
GR,,,EL653,EL653,NUTS3,GRC_2,
GR,GR245,EL245,EL645,EL645,NUTS3,GRC_2,
GR,,,EL651,EL651,NUTS3,GRC_2,
HR,,,,,NUTS0,HRV_1,
HU,,,,,NUTS0,HUN_1,
IE,,,,,NUTS0,IRL_1,
IS,,,,,NUTS0,ISL_1,Added to the modelled system
IT,ITE42,ITI42,ITI42,ITI42,NUTS3,ITA_3,
IT,ITE43,ITI43,ITI43,ITI43,NUTS3,ITA_3,
IT,ITE44,ITI44,ITI44,ITI44,NUTS3,ITA_3,
IT,ITE45,ITI45,ITI45,ITI45,NUTS3,ITA_3,
IT,ITF41,,,,NUTS3,ITA_4,
IT,ITF42,,,,NUTS3,ITA_4,
IT,ITC45,,,,NUTS3,ITA_1,
IT,,ITC4C,ITC4C,ITC4C,NUTS3,ITA_1,
IT,ITF12,ITF12,ITF12,ITF12,NUTS3,ITA_3,
IT,ITE41,ITI41,ITI41,ITI41,NUTS3,ITA_3,
IT,,ITI35,ITI35,ITI35,NUTS3,ITA_2,
IT,ITE34,ITI34,ITI34,ITI34,NUTS3,ITA_2,
IT,ITE33,ITI33,ITI33,ITI33,NUTS3,ITA_2,
IT,ITE32,ITI32,ITI32,ITI32,NUTS3,ITA_2,
IT,ITE31,ITI31,ITI31,ITI31,NUTS3,ITA_2,
IT,ITE22,ITI22,ITI22,ITI22,NUTS3,ITA_2,
IT,ITE21,ITI21,ITI21,ITI21,NUTS3,ITA_2,
IT,ITE1A,ITI1A,ITI1A,ITI1A,NUTS3,ITA_2,
IT,ITE19,ITI19,ITI19,ITI19,NUTS3,ITA_2,
IT,ITE18,ITI18,ITI18,ITI18,NUTS3,ITA_2,
IT,ITE16,ITI16,ITI16,ITI16,NUTS3,ITA_2,
IT,ITC4B,ITC4B,ITC4B,ITC4B,NUTS3,ITA_1,
IT,ITC4A,ITC4A,ITC4A,ITC4A,NUTS3,ITA_1,
IT,ITC41,ITC41,ITC41,ITC41,NUTS3,ITA_1,
IT,ITC48,ITC48,ITC48,ITC48,NUTS3,ITA_1,
IT,ITC33,ITC33,ITC33,ITC33,NUTS3,ITA_1,
IT,ITC32,ITC32,ITC32,ITC32,NUTS3,ITA_1,
IT,ITC31,ITC31,ITC31,ITC31,NUTS3,ITA_1,
IT,ITC20,ITC20,ITC20,ITC20,NUTS3,ITA_1,
IT,ITC18,ITC18,ITC18,ITC18,NUTS3,ITA_1,
IT,ITC17,ITC17,ITC17,ITC17,NUTS3,ITA_1,
IT,ITC16,ITC16,ITC16,ITC16,NUTS3,ITA_1,
IT,ITC15,ITC15,ITC15,ITC15,NUTS3,ITA_1,
IT,ITC14,ITC14,ITC14,ITC14,NUTS3,ITA_1,
IT,ITC13,ITC13,ITC13,ITC13,NUTS3,ITA_1,
IT,ITC12,ITC12,ITC12,ITC12,NUTS3,ITA_1,
IT,ITC11,ITC11,ITC11,ITC11,NUTS3,ITA_1,
IT,,ITC4D,ITC4D,ITC4D,NUTS3,ITA_1,
IT,ITC34,ITC34,ITC34,ITC34,NUTS3,ITA_1,
IT,ITE15,ITI15,ITI15,ITI15,NUTS3,ITA_2,
IT,ITF11,ITF11,ITF11,ITF11,NUTS3,ITA_3,
IT,ITC42,ITC42,ITC42,ITC42,NUTS3,ITA_1,
IT,ITC43,ITC43,ITC43,ITC43,NUTS3,ITA_1,
IT,ITC44,ITC44,ITC44,ITC44,NUTS3,ITA_1,
IT,ITC46,ITC46,ITC46,ITC46,NUTS3,ITA_1,
IT,ITC47,ITC47,ITC47,ITC47,NUTS3,ITA_1,
IT,ITC49,ITC49,ITC49,ITC49,NUTS3,ITA_1,
IT,ITE14,ITI14,ITI14,ITI14,NUTS3,ITA_2,
IT,ITE17,ITI17,ITI17,ITI17,NUTS3,ITA_2,
IT,ITE12,ITI12,ITI12,ITI12,NUTS3,ITA_2,
IT,ITE13,ITI13,ITI13,ITI13,NUTS3,ITA_2,
IT,ITG16,ITG16,ITG16,ITG16,NUTS3,ITA_5,
IT,ITG15,ITG15,ITG15,ITG15,NUTS3,ITA_5,
IT,ITG14,ITG14,ITG14,ITG14,NUTS3,ITA_5,
IT,ITG13,ITG13,ITG13,ITG13,NUTS3,ITA_5,
IT,ITG12,ITG12,ITG12,ITG12,NUTS3,ITA_5,
IT,ITG11,ITG11,ITG11,ITG11,NUTS3,ITA_5,
IT,ITF65,ITF65,ITF65,ITF65,NUTS3,ITA_4,
IT,ITF64,ITF64,ITF64,ITF64,NUTS3,ITA_4,
IT,ITF63,ITF63,ITF63,ITF63,NUTS3,ITA_4,
IT,ITF62,ITF62,ITF62,ITF62,NUTS3,ITA_4,
IT,ITF61,ITF61,ITF61,ITF61,NUTS3,ITA_4,
IT,ITF52,ITF52,ITF52,ITF52,NUTS3,ITA_4,
IT,ITF51,ITF51,ITF51,ITF51,NUTS3,ITA_4,
IT,,ITF48,ITF48,ITF48,NUTS3,ITA_4,
IT,,ITF47,ITF47,ITF47,NUTS3,ITA_4,
IT,,ITF46,ITF46,ITF46,NUTS3,ITA_4,
IT,ITF45,ITF45,ITF45,ITF45,NUTS3,ITA_4,
IT,ITF44,ITF44,ITF44,ITF44,NUTS3,ITA_4,
IT,ITF43,ITF43,ITF43,ITF43,NUTS3,ITA_4,
IT,ITF35,ITF35,ITF35,ITF35,NUTS3,ITA_3,
IT,ITF34,ITF34,ITF34,ITF34,NUTS3,ITA_3,
IT,ITF33,ITF33,ITF33,ITF33,NUTS3,ITA_3,
